mode,axis,choice,run_tag,primary_metric,model_mean,mix_mean,model_stein_mean,mix_stein_mean,model_logeuc_mean,mix_logeuc_mean,model_gmvp_sharpe_mean,mix_gmvp_sharpe_mean,roll_gmvp_sharpe_mean,pers_gmvp_sharpe_mean,shrink_gmvp_sharpe_mean,model_gmvp_var_mean,mix_gmvp_var_mean,roll_gmvp_var_mean,pers_gmvp_var_mean,shrink_gmvp_var_mean,model_gmvp_vol_mean,mix_gmvp_vol_mean,roll_gmvp_vol_mean,pers_gmvp_vol_mean,shrink_gmvp_vol_mean,model_turnover_l1_mean,mix_turnover_l1_mean,roll_turnover_l1_mean,pers_turnover_l1_mean,shrink_turnover_l1_mean
one_at_a_time,k_neighbors,10,k_neighbors=10,fro,0.023564334132700683,0.02229526350969418,848.3631814775156,811.878192510021,100.67314833977225,94.22011939637804,1.9419288530026109,1.8095888898851746,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122057538058341,9.854242159584446e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449659733262886,0.007883091361794122,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.18922468642696874,0.16029870654331876,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,k_neighbors,15,k_neighbors=15,fro,0.02356433405023943,0.022295263494250605,848.3631796967259,811.8781915034633,100.6731482565091,94.22011931267161,1.9419288529309813,1.8095888898925026,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122057537932659,9.854242159561188e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449659733164125,0.0078830913617732,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.18922468621517527,0.16029870723089734,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,k_neighbors,20,k_neighbors=20,fro,0.023564334033390793,0.022295263491109028,848.3631793224458,811.8781912889999,100.67314824047695,94.22011929600045,1.941928852917342,1.8095888898907362,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122057537921833,9.854242159557508e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449659733149465,0.0078830913617682,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.1892246858236405,0.16029870699986054,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,k_neighbors,30,k_neighbors=30,fro,0.02356433402579511,0.02229526348994931,848.3631791606239,811.8781911881103,100.67314823275557,94.2201192876968,1.9419288529139465,1.8095888898899106,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122057537920284,9.854242159557034e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449659733147723,0.007883091361767664,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.18922468578616908,0.16029870708240526,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,k_neighbors,40,k_neighbors=40,fro,0.023564334024893906,0.02229526348979149,848.3631791390618,811.8781911760457,100.67314823185657,94.22011928677895,1.9419288529141128,1.8095888898899406,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122057537920172,9.854242159557004e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449659733147572,0.007883091361767623,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.18922468577478968,0.16029870708856098,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,k_neighbors,50,k_neighbors=50,fro,0.023564334024810035,0.02229526348977567,848.3631791369864,811.8781911749536,100.67314823177303,94.22011928669036,1.941928852914131,1.8095888898899462,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122057537920172,9.854242159557005e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449659733147569,0.007883091361767621,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.1892246857753644,0.1602987070890656,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,tau,1.0,tau=1.0,fro,0.023564864405431207,0.02229537763367975,848.382501000168,811.8871143128799,100.6738159947813,94.22069498331818,1.9421720654791013,1.8096433560480025,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122141791497332,9.854256656164298e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449681047639854,0.007883094098146902,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.18921662542728745,0.16030745465373974,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,tau,1.5,tau=1.5,fro,0.02356486440542958,0.022295377633679416,848.3825010001036,811.8871143128117,100.67381599477969,94.22069498331665,1.9421720654782508,1.809643356047812,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122141791497037,9.854256656164242e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.00844968104763978,0.007883094098146892,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.18921662542724413,0.16030745465369992,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,tau,2.0,tau=2.0,fro,0.02356433402579511,0.02229526348994931,848.3631791606239,811.8781911881103,100.67314823275557,94.2201192876968,1.9419288529139465,1.8095888898899106,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122057537920284,9.854242159557034e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449659733147723,0.007883091361767664,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.18922468578616908,0.16029870708240526,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,tau,2.5,tau=2.5,fro,0.023569457575243882,0.022270443455930846,1009.2348950214808,821.3920779088957,97.52487048862614,92.96797282413105,1.90060054721944,1.7976350714925764,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011025859063757853,9.823804726003356e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008409748428369501,0.007870574018777181,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.2547743449692218,0.1806618057294245,0.2392887989721949,0.4456611046578845,0.18028667620418165
one_at_a_time,tau,3.0,tau=3.0,fro,0.023668549845973164,0.022266976442027336,1325.733342911008,835.4355469343683,91.16729408290003,90.7603804558158,1.9194022227388343,1.8023466261024326,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00010853039134415755,9.770382883895073e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008290625077472,0.007831375895665568,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.3131407080149326,0.19687775829734314,0.2392887989721949,0.4456611046578845,0.18028667620418165
